Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
Lovely hotel would stay again!,Alojamiento Superior con cama extragrande y vistas al océano,abril de 2026,Fecha del comentario: 30 de abril de 2026,Thomas,"Beautiful spot on the island amazing views, scenic paradise!","Pretty hard to fault, its a pretty amazing place. If anything maybe the price of the stay per night but what do you expect on an island",1 noche ·,"9,0",Australia,En pareja
Awesome 👍 Staff,Habitación Superior con vistas a la piscina - Cama extragrande,abril de 2026,Fecha del comentario: 29 de abril de 2026,Schmidt,"Activities
Aquarium inside and exterior 
The birds xx
Staff Salti Tonic reception and bar locations and housekeeping very friendly ☺️ 
The food especially the Grace breakfast 🍳 
The gardener placing pebbles coral down 
Rainforest Walk 
Statues 
History on island and of Reef 
Coral display","Television - aerial hanging Reception normal TV yet we understand the location as it was only five minutes then freeze .

Bathroom - easily flooded with water and remove the clothes line as Exhaust fan not operating and clothes not drying ...
On arrival one long strand of hair in the bathtub
The bath tub rust stains plug hole ..damaged on bath 

No chairs on verandah",3 noches ·,"6,0",Australia,Persona que viaja sola
Lovely island getaway,Habitación Resort con 2 camas individuales,abril de 2026,Fecha del comentario: 28 de abril de 2026,Christina,"Beautiful setting with the living reef and swimming pools, bars and restaurants.",The bed in room 2223 needs replacing. The shower tap made an awful noise while the water was turned on and hot water was scalding during water surges. The service at the Salti restaurant was excellent on the first night but on the second night it was as if the staff were in a hurry to close up and we weren’t offered the dessert menu and our waitress omitted our starter order and just brought out the mains. Overall a great stay.,2 noches ·,"8,0",Australia,En pareja
Bien,Habitación Doble Resort con cama grande,abril de 2026,Fecha del comentario: 28 de abril de 2026,Maya,"The views were amazing

Lovers cove","Cleanliness of the place - always glasses/dishes lying around pool area and reception etc, always as the rooms didn’t feel the cleanest with big stains on all the the furniture

It was a little outdated, the other side of the island kind of felt like it was abandoned, and the outside of the building could use with freshening up along with the furniture and amenities 

Pool was dirty everyday 

Food wasn’t great, especially the infinity where we were charged $180 for cold food, but thankfully got a refund",3 noches ·,"7,0",Australia,En pareja
"An amazing place to visit, but if you have kids prepare snack and water",Habitación Doble Resort con cama grande,abril de 2026,Fecha del comentario: 26 de abril de 2026,Diana,"The view was absolutely amazing, and the staff were incredibly sweet and welcoming. We received fantastic service throughout our stay—everyone was so kind. ❤️ The restaurant manager was especially helpful, securing last-minute reservations for us at both restaurants for the duration of our stay.","The property lacked adequate facilities, with most things closing very early. The convenience store had limited items and was also overpriced. Additionally, there were no places available to refill water bottles, which was quite inconvenient.
If you’re travelling with kids, I’d recommend bringing your own snacks and water before heading to the island, as the options available are quite limited.",2 noches ·,"7,0",Australia,Persona que viaja sola
"My stay was okay, but I found a lot of floors that should be addressed",Habitación Superior - Cama extragrande - Lado de la piscina,abril de 2026,Fecha del comentario: 26 de abril de 2026,Huia,Reception and staff members,The room was comfortable,2 noches ·,"6,0",Nueva Zelanda,Persona que viaja sola
What an Impeccable bonding w/ my family❤️😍,Habitación Superior con vistas al mar - 2 camas,abril de 2026,Fecha del comentario: 24 de abril de 2026,Anne,Hiking on the rainforest and the welcoming Kangaroos and Cockatoos😍,,1 noche ·,"8,0",Australia,En familia
Gorgeous place to go for a break,Habitación Doble Resort con cama grande,abril de 2026,Fecha del comentario: 23 de abril de 2026,Jayne,"Gorgeous scenery, lovely animals close by. Living reef is breathtaking.","Choice of 2 places for dinner so a bit restricted. We found the were inconsistency in meals from one night to the next ( chicken fajitas were breast meat twice ,3rd time thigh/ wing meat -not as good) 
Minor problem really",3 noches ·,"9,0",Reino Unido,Persona que viaja sola
Bien,Habitación Doble adaptada para personas con discapacidad - 2 camas,abril de 2026,Fecha del comentario: 19 de abril de 2026,Melamed,"Pools, location",Overall more attention to detail with cleaning,2 noches ·,"7,0",Australia,Persona que viaja sola
Really enjoyed by stay on Daydream island,Habitación Doble Superior con vistas a la piscina - 2 camas,abril de 2026,Fecha del comentario: 18 de abril de 2026,Carolyn,"Loved the island location, pools and wildlife",Bathroom flooded when taking a shower,3 noches ·,"9,0",Reino Unido,En pareja
"Great location and facilities,  accommodation good value but then meals and drinks added a lot of expense.",Habitación Resort con 2 camas individuales,abril de 2026,Fecha del comentario: 18 de abril de 2026,Jennifer,"Great view, great pool.  Infinity restaurant was excellent","The lack of lunch options and reasonable family priced food,  dinners at the restaurant were limited choice and expensive.   The glass bottom
boat tour was not available.  Many of the staff seemed rude and disinterested.",3 noches ·,"6,0",Australia,En familia
A wonderful group family holiday for all ages.,Habitación Resort con 2 camas individuales,abril de 2026,Fecha del comentario: 17 de abril de 2026,Mikarla,"Wonderful family friendly property. The most beautiful outlook over the ocean to the islands.  We loved the gardens, pool, living reef and Wallaby’s and aquarium. 
Kids really enjoyed themselves.

Staff in the hotel and restaurant were really friendly and accommodating.","A few more food options would be nice.
Some areas of the island could use a bit of a cleanup.",5 noches ·,"9,0",Australia,En familia
Nice escape from busy city’s life,Resort King Room - Inclusive of Return Ferry Transfers,abril de 2026,Fecha del comentario: 16 de abril de 2026,Viktoriia,"Pools area are really amazing, also the created reef with small sharks and mantras are really nice. Buffet breakfast was good as well. Wild life around island, including kangaroo , birds, and free water sport activities made our experience even better.","No drinking water in the room. 
Bathrooms should be more clean, 
Free yoga classes were already fully booked for the days when we were there, so we couldn’t participate in it. 
Not many healthy lunch options, and prices for food not too cheap.",4 noches ·,"8,0",Australia,En familia
Food amazing. Location fantastic.,Habitación Resort con 2 camas individuales,abril de 2026,Fecha del comentario: 15 de abril de 2026,Tim,"The food options for vegetarian and vegans has increased brilliantly. The installation of the larger reef was fantastic. The updates/modernisation from  ten year ago are looking great, when complete it will be awesome","We were on the ground floor on the ocean side and there was a smell of mould in the entry to the room, while not ideal we put it down to recent cyclones",3 noches ·,"7,0",Australia,En familia
Peaceful and beautiful resort experience!,Habitación Doble Resort con cama grande,abril de 2026,Fecha del comentario: 15 de abril de 2026,Meghan,"This resort has lots of great attractions - the beautiful view, pools, tours, easy to get around and peaceful areas! We received a complementary upgrade for our room which was lovely.","The resort/island didn’t have many snacky things to have in the afternoons. With breakfast included and lots of dinner options, maybe more snack options would go well with guests!",2 noches ·,"9,0",Australia,En pareja
relaxing time with our family,Habitación Doble Resort con cama grande,abril de 2026,Fecha del comentario: 13 de abril de 2026,Gosling,"The F&B Manager Nathan was excellent and we could see how genuinely he wanted our stay to be easy and enjoyable. The head chef, Doug, was also very lovely and he is ding a prenominal job.  The food overall was great. The SPA was amazing. Once of the best massages I've had. Bailey the duty manager I dealt with most was so helpful especially in helping us get baby food and nappies delivered from Airlie.","Pool could be heated, at the very least the Spa should be. 
Staff were great, they just needed more of them! Especially given it was the Easter period. 
The ""store"" needs a few more essential items for babies",7 noches ·,"8,0",Australia,En familia
Okay,Habitación Doble Superior con vistas a la piscina - 2 camas,abril de 2026,Fecha del comentario: 12 de abril de 2026,Bluesky,"We got a last minute deal that made us feel we paid an appropriate price for the stay (AUD 557,31 for two nights). Idyllic small place.","It was quite moldy and the restaurants just okayish. It was nearly impossible to find a sunbed with shade. The employees were all good people, but seemed completely untrained. If we paid more than that, we would have been disappointed. As you can only access the island with a booking, we recommend to stay for one night.",2 noches ·,"7,0",Suiza,Persona que viaja sola
Muy bien,Resort King Room - Inclusive of Return Ferry Transfers,abril de 2026,Fecha del comentario: 12 de abril de 2026,Dana,"Clean, modern, well set out, friendly and helpful staff",Shower in room was average,3 noches ·,"8,0",Australia,Persona que viaja sola
Small island,Superior Pool View King - Inclusive of Return Ferry Transfers,marzo de 2026,Fecha del comentario: 12 de abril de 2026,Lawrence,Swimming pool area setting and hiking trail.Room overlooking sea was spectacular .,Food was average quality and rather bland .Building starting to show its age .,2 noches ·,"6,0",Sudáfrica,En pareja
Fantástico,Superior Pool View Twin - Inclusive of Return Ferry Transfers,abril de 2026,Fecha del comentario: 11 de abril de 2026,Dorinda,"Lovely room, comfy beds",Main areas were a bit run down,3 noches ·,"9,0",Australia,Persona que viaja sola
PARADISE,Habitación Superior con vistas al mar - 2 camas,abril de 2026,Fecha del comentario: 10 de abril de 2026,Lattuca,Location,Needs a refresher,1 noche ·,"8,0",Australia,En pareja
Overall a lovely stay. Just a few areas to be considered!,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,abril de 2026,Fecha del comentario: 7 de abril de 2026,Georgia,"The people, area, design, food and wildlife was amazing. Definitely loved our time there.","The resort (rooms, main area, elevators, gym) need some TLC and loving, I had to clean the calcium and grim in the bathroom.

Given theres not much room for running, a bigger gym would've been awesome and well used.",4 noches ·,"7,0",Australia,En pareja
It was good but not worth the amount we paid and ended up paying during our stay!,Alojamiento Superior con cama extragrande y vistas al océano,marzo de 2026,Fecha del comentario: 5 de abril de 2026,Narges,"We loved the pool area where the restaurants are. There were multiple pools and a kids pool. They were clean. One day it rained and was windy but staff came out and cleaned up the sticks and leaves in the pool. We also loved our room view and the enterance to the island. We were given complimentary drinks upon arrival which was nice.

Our room was nice and clean and house keeping did a good job. They just forgot to take some glassess and cups. 
The bathroom was nice although our fan didn't work and apparently it was a silent fan and if you put a paper next to it it'll still suck in air but it wouldn't. We did enjoy the ping pong table but i think more can be added into that area for night life as theres not much to do night time on the island..","When we first got there at reception, the girl greeted us with bare minimum smile. She was so flat and I read previous reviews and expected it, i didn't let it get to me. The other staff made up for it though. Most were lovely, especially at Salti.
The amount we spent on food at the restaurants and the lack of food after 9pm. We had a toddler and she would get hungry throughout the night if we stayed up and wanted actual food. There is no small cafe or anything open. One night we were late for dinner reservation and couldn't get a table at Salti. We went upstairs to Infinity but their menu was confusing to understand no photos and barely had anything a toddler would eat. I don't think i ate that night.
We paid $1700 for our room and i only realised after that we had NO kitchen. We did pack a few packs of croissants and snacks which I was happy we did because of the obvious no kitchen and no option for food after hours. Surely people get hungry after 8?
We spent $700 for 5 days just on food lunch and dinner. Thank god children got to eat for free if we dined in. I understand its an island but once the restaurants close you literally have no access to any food or drinks until the morning.
Breakfast was the same everyday. We also had to buy our proper coffees (lattes, caps). I did not want the watery type provided.
There wasn't much activities for kids to do. The kids playground could be upgraded to have more features. Just had slide and swing. Kids club is $55 per kid which is really expensive so we didn't even bother -- a kids play area indoors in the atrium would be good as kids would run around in the area and would probably get annoying for some adults who are there on their own or as couples. There also could be more night activities or things for night time in the atrium. We had a singer on for a few nights which brought people together to mingle but on the last 2 nights she wasn't there and the whole place was also empty.",5 noches ·,"6,0",Australia,En familia
Muy bien,Habitación Doble Resort con cama grande,abril de 2026,Fecha del comentario: 2 de abril de 2026,Elizabeth,"An amazing location to completely forget about the outside world. Enough room to accomodate guests without feeling like your on top of each other. Staff are so friendly from the moment your arrive, greeting new arrivals with a welcome drink in transit lounge. Restaurants servered quality food, the meals were execptional at infinity, and hearty at saltys. A cheeky afternoon cocktail always goes down well especially with the panoramic views. Lovers cove was tranquil in the mornjng and when the sun was setting. Couldn't have asked for a better way to celebrare our 25th wedding anniversary. 🥰 We will be back for sure!",Buffet breakfast was ok but not the same quality as the other resraurants.,5 noches ·,"8,0",Australia,En familia
Incredible! The name says it all!,Habitación Resort con 2 camas individuales,abril de 2026,Fecha del comentario: 2 de abril de 2026,Poppy,"I loved how much variety we had in terms of activities, as well as breath taking views! It felt like we were in a different planet, where we could completely relax. The nature and wildlife was unbelievable, I’ve been in Australia a year and haven’t seen as much wildlife as I did in just 2 nights!","Everything was perfect, however, having some later dinning/drinks options like a bar would’ve been nice as everything closed around 9pm. I would have liked more variety in terms of drinks (e.g orange juice), and also water in the bedroom!",2 noches ·,"9,0",Australia,En pareja
Muy bien,Habitación Resort con 2 camas individuales,marzo de 2026,Fecha del comentario: 31 de marzo de 2026,Irina,Pool around hotel,Problem to buy a coffee during the day.q,2 noches ·,"8,0",Australia,En familia
Fantástico,Habitación Deluxe Ocean con terraza - Cama extragrande,marzo de 2026,Fecha del comentario: 29 de marzo de 2026,Marianne,The island itself,Resort is a little run down and could potentially do better,4 noches ·,"9,0",Australia,En familia
Fantástico,Superior Ocean View King - Inclusive of Return Ferry Transfers,febrero de 2026,Fecha del comentario: 29 de marzo de 2026,Antonio,The living reef intertwining the resort. View from the room. Food at Infinity restaurant was fantastic,"Carpet and floors in walkway were always wet, had to be very careful walking through",2 noches ·,"9,0",Australia,En pareja
Muy bien,Habitación Resort con 2 camas individuales,marzo de 2026,Fecha del comentario: 27 de marzo de 2026,Shirley,Lovers Cove. My my friends Ocean View unit.,No knives left at breakfast. No wine glasses left at Salti so wine in a champagne glass. Really heavy cheap sort of wine glass for the Shiraz. Awful Expresso Martini.,2 noches ·,"8,0",Australia,En familia
"Overall it was lovely, but wouldn’t stay any longer than 1-2 nights as a bit boring.",Superior Ocean View Twin - Inclusive of Return Ferry Transfers,marzo de 2026,Fecha del comentario: 26 de marzo de 2026,Wendy,Relaxing and very pretty. The living reef ect is beautiful. The pools are beautiful.,"There needs to be a few more activities as there is not much to do. 
The bottom end of the island needs to be renovated as there isn’t much down there. There was a shop and a tavern, mini golf. It was good now it’s not.",1 noche ·,"7,0",Australia,En pareja
Wonderful catch up with family in the most spectacular location.,Superior Pool View King - Inclusive of Return Ferry Transfers,marzo de 2026,Fecha del comentario: 25 de marzo de 2026,Lynette,"Wonderful resort, incredibly beautiful location and well trained and friendly staff?",Resort is a bit dated.,2 noches ·,"8,0",Australia,En familia
Baby moon on Daydream Island,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,marzo de 2026,Fecha del comentario: 22 de marzo de 2026,Memori,"We came here for our baby moon and it was Beautiful place to unwind and relax before the chaos of parenthood. The wildlife and views were so nice to wake up to. The live reef was special and the two restaurants - food was delicious! Beds comfortable and rooms clean. The staff especially Constantine at the front desk, absolutely went above and beyond for us and we can’t thank her enough.","Wished there was more options in the shop in terms of food and even just basics. We lost our luggage for a day and a half and more items could have helped. We went when it was raining but water sports and lovers cove were unfortunately closed when we were there too. 
Amongst our room moves, some rooms were unfortunately mouldy but thankfully off peak season meant we were moved immediately to another. Otherwise it really was just the perfect baby moon holiday.",5 noches ·,"9,0",Australia,En pareja
its an option - check before you book it,Habitación Deluxe Ocean con terraza - Cama extragrande,enero de 2026,Fecha del comentario: 22 de marzo de 2026,Mirko,The pool area in the outer area is nice. tours are easy to book. the coffee counter serves really good food. the kids and pool educations with the animals etc is really a nice approach! They offer swimsuits to go in the sea - really good.,"the interns / students/ temps run the show, if they would not be there it would be just terrible, i dont know where they take the energy from to deal with the shortcomings of the hotel facility etc. itself but they manage to keep it going.",4 noches ·,"6,0",Alemania,En pareja
Bien,Alojamiento Superior con cama extragrande y vistas al océano,marzo de 2026,Fecha del comentario: 17 de marzo de 2026,Naghmeh,"Location was beautiful, however transportation from ports was a bit pricey and not frequent.airport ferry free service would attract more guests .
Breakfast was quality was not good.
Mattress was soooo shaky, not comfortable.","Design, living reef, view",3 noches ·,"7,0",Australia,En pareja
Great place to stay needs to keep the eye on the ball,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,marzo de 2026,Fecha del comentario: 16 de marzo de 2026,Chris,"Food was the worst id had in 4 weeks of touring Australia, very disappointed","Great location, staff need to keep on top of cleaning general areas",1 noche ·,"8,0",Reino Unido,En pareja
Agradable,Alojamiento Superior con cama extragrande y vistas al océano,marzo de 2026,Fecha del comentario: 12 de marzo de 2026,Martin,"The walk through the rainforest.  The beauty spots.  Friendliness of staff.  We loved Dave,  the Canadian singer at night.",Tired and dated bedroom and the resort in general.  And no hot food after 8.30pm. Shop closed to early and the coffee bar. No paper coasters for your drinks.,5 noches ·,"6,0",Reino Unido,En familia
Great apartment and nice view from the balcony,Habitación Resort con 2 camas individuales,febrero de 2026,Fecha del comentario: 5 de marzo de 2026,Jing,Very large 2 bedroom apartment with all cooking wears,"It’s located the top hill, not good for ageing people",2 noches ·,"9,0",Australia,En grupo
Good little getaway,Habitación Superior con vistas a la piscina - Cama extragrande,febrero de 2026,Fecha del comentario: 1 de marzo de 2026,Fazlin,"Easy to get around, beautiful scenery",More variety with food,2 noches ·,"7,0",Sudáfrica,En familia
We enjoyed our stay!,Habitación Superior - Cama extragrande - Lado de la piscina,febrero de 2026,Fecha del comentario: 27 de febrero de 2026,Karen,"The resort is not that far from Airlie port. We book the pool side room so it was very convenient to go to the pool. Rooms are considerably clean and comfortable to stay with. The staffs were nice and accommodating. 
Breakfast buffet is okay however the menu seems like the same everyday.","The resort has 2 sections, the main section where the rooms and other facilities (like pool, restaurants) were properly maintained. While the other section which is a 10 minute walk and where most of on-island activities are locate.  the facilities are mostly closed, it feels like abandoned are, but we enjoyed the kayak activity.",3 noches ·,"7,0",Australia,En familia
Our stay was good. Quite expensive for what it is now.,Habitación Superior con vistas a la piscina - Cama extragrande,enero de 2026,Fecha del comentario: 25 de febrero de 2026,Jade,The wildlife everywhere is amazing.,Some of the facilities weren’t as good as I thought that they would be.,2 noches ·,"9,0",Australia,En pareja
"Great time, glad we went, perfect for young families when you don't want to spend the day travelling",Habitación Deluxe Ocean con terraza - Cama extragrande,febrero de 2026,Fecha del comentario: 24 de febrero de 2026,Ryan,It was pretty much exactly what we were after traveling with a 2 year old. We didn't have to go anywhere and everything was at our finger tips. The swim up bar and pool areas were awesome!,You could definitely tell some of the staff were in experienced in hospitality and we felt that there were so many things that were unavailable on the menu due to stock levels. The variety of drinks could be improved as well.,4 noches ·,"9,0",Australia,En familia
Fabulous island location with great living reef and inclusion of water sports,Habitación Doble Resort con cama grande,febrero de 2026,Fecha del comentario: 24 de febrero de 2026,Ann,"Loved being on a small island surrounded by living reef.   Inclusion of marine talks, snorkelling, kayaking etc was great.   Friendly and helpful young staff.",Despite air conditioning rooms still humid.,3 noches ·,"9,0",Reino Unido,En pareja
Quick get away,Resort King Room - Inclusive of Return Ferry Transfers,febrero de 2026,Fecha del comentario: 20 de febrero de 2026,Susan,"Staff were amazing 
Food at the restaurants was superb and reasonably priced
Bed was comfortable",Pools were dirty and needed a really good clean,3 noches ·,"7,0",Australia,En pareja
"Comfortable, but I definitely wouldn't book at this place again.",Habitación Resort con 2 camas individuales,febrero de 2026,Fecha del comentario: 12 de febrero de 2026,Sharin,"The place is very beautiful, very quiet, beautiful views, a beautiful room","The staff isn't very friendly; the service staff often take your belongings if you leave them anywhere, like in the surrounding area, and they never reappear. The food isn't very good; their breakfast is the same every day, there's no variety, and the food is bland and tasteless. The food in their restaurant isn't good, and there isn't much variety.",4 noches ·,"7,0",Australia,En pareja
Was ok nice to relax,Habitación Doble Superior con vistas a la piscina - 2 camas,diciembre de 2025,Fecha del comentario: 7 de febrero de 2026,Brett,It was ok not the nicest,"Pool was good, bar service pretty slow and closed early",1 noche ·,"7,0",Australia,En pareja
"Thoroughly enjoyed a relaxing break, with good food in the perfect location",Habitación Deluxe Ocean con terraza - Cama extragrande,enero de 2026,Fecha del comentario: 6 de febrero de 2026,Steven,"Breakfast had a variety of different options, Superb restaurants with plenty of tasty meals and snacks on the menu overlooking beautiful views whilst dinning, plenty of activities on the resort to enjoy your stay, with options of activities to book and venture off the island, all in all it’s a perfect location to explore the Whitsundays","The corridors to the rooms smelt musky and were dull, there were room numbers that had fallen off, to which staff had written the number on the door with permanent marker, our room wasn’t ready for the 2pm check in time, the pool at the furthest point from reception had an empty building which could be a restaurant, lovers cove bar could also do with a bit of love",3 noches ·,"9,0",Australia,En pareja
Fantástico,Habitación Resort con 2 camas individuales,diciembre de 2025,Fecha del comentario: 3 de febrero de 2026,Yutang,"Such a small island resort but has everything. You can easily entertain yourself looking at Aqua fishes, do a snokelling, or relax at pool bar.","It is a very kids friendly place, can be noisy sometimes. However, pool is big and in sections, we didnt mind.",1 noche ·,"9,0",Australia,En familia
Fantástico,Habitación Resort con 2 camas individuales,enero de 2026,Fecha del comentario: 3 de febrero de 2026,Andrea,Super clean nd comfortable. Beautiful pools and you could see kangaroos at the hotel.,There was an aquarium where sharks and other marine animals were kept in a really small space. These animals should be set free; it’s very cruel.,1 noche ·,"9,0",España,En grupo
Great time!,Habitación Deluxe Ocean con terraza - Cama extragrande,diciembre de 2025,Fecha del comentario: 1 de febrero de 2026,Romani,"Loved my stay there. The pools were awesome, we loved the trivia and the free activities.","Some night life would be great. 
The outdoor cinema needs some work. 
More food options and cheaper food and drinks would be great as well.",3 noches ·,"8,0",Australia,En grupo
Beautiful but needs some love and care,Habitación Superior con vistas al mar - 2 camas,enero de 2026,Fecha del comentario: 1 de febrero de 2026,Romani,The pools and views were great! Some of the staff were extremely friendly especially those who have been there for a few years. This is my 2nd time there in just a span of a month.,"Needs more activities especially at night. 

Rooms were great but not clean under the beds. 

The sunset pool is my favourite but needed some cleaning, it didn’t seem anyone was taking care of it. 

Some staff members were quite rude and on their phone the whole time.",3 noches ·,"8,0",Australia,En grupo
Bien,Resort King Room - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 30 de enero de 2026,Peter,"Pools,   first impressions, package cost.","Trouble opening and closing the room door as it kept buzzing. Shower over bath tub they are so dangerous. Once coffee shop closed basically had only 2 restaurants to choose from. Would have liked a pizza/ice cream for parents with kids.
Plenty of staff but pool down near tennis court had a lot leaves etc in it. Had not been cleaned..
And heard several times things were broken from the cyclone.....come on 9 years and still not fixed .",4 noches ·,"7,0",Australia,En pareja
I expected Daydream to be a luxury resort but it isn’t. It was lovely just not the resort I was expecting.,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 27 de enero de 2026,Dana,The live reef through the resort was beautiful. The room was clean.,"The shower head didn’t work, staff really struggled and weren’t very helpful. Restaurants struggled with volume of people.",2 noches ·,"7,0",Australia,En pareja
"Beautiful place, resort and staff need an attitude adjustment",Superior Ocean View King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 26 de enero de 2026,Regina,"The buffet breakfast was good.  The food at the other restaurants was average but over priced.  The staff were rude and unhelpful, one even swearing at us for asking for a glass of ice.",The system that they have (or don't have) for when you are getting drinks from the pool bar or even from the other restaurant is shocking.  Nothing is signed for and anyone can put anything on your room number.,2 noches ·,"6,0",Australia,En grupo
Very enjoyable,Habitación Superior con vistas a la piscina - Cama extragrande,enero de 2026,Fecha del comentario: 26 de enero de 2026,Gary,Breakfast was great.,"Very poor customer service at the Airlie Beach Port, upon our arrival and prior to boarding.  The young lady who served us (named Taylor-Jane) was not empathetic at all and immediately put us into a disappointed and emotional mindset.  Luckily, your staff on the island itself were the complete opposite.  If anybody actually reads this?  (is it A.I. ?) I can elaborate how our stay with you, did not start off so well.",5 noches ·,"9,0",Australia,En pareja
Bien,Superior Ocean View King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 25 de enero de 2026,Steevin,The view,,4 noches ·,"7,0",Australia,En familia
Absolutely beautiful resort to stay at with your baby!,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 24 de enero de 2026,Shakira,"Such a beautiful island resort! We were absolutely in awe of the view from our ocean terrace room every morning. Beautiful sunsets from so many different spots on the island. A lovely relaxing rainforest walk we did with our baby in her carrier. So many beautiful swim spots including the many beaches but also the pools. The food at Infinity restaurant in particular was amazing. The staff were also very accommodating for our baby who has a dairy and soy allergy - so they were more than happy to warm up our pre-prepared food for her, for us to serve her own food while we dined in and also to run through menus in detail with the chef to find what was safe for her.",The cleanliness of the bathroom could have been better. The food at the other restaurants were overpriced for the taste and quantity.,5 noches ·,"8,0",Australia,En familia
